"pred","chemberta_pred","molformer_pred","molbert_pred","true"
0.971997927215335,0.976630742070454,0.99999595,0.99996126,1
0.720143072898108,0.275399162591794,0.9999981,0.9798834,1
0.972392789923098,0.980616873019733,0.9999958,0.9999621,1
0.972537349404151,0.982102863227109,0.99999905,0.99993134,1
0.97257190986559,0.982430750075028,0.9999999,0.9999889,1
0.972654214748265,0.983277676342578,0.9999999,0.99998045,1
0.110247247835002,0.0957329900636681,2.508365e-05,0.00021962645,0
0.107842451695648,0.0890082942420505,3.4030658e-05,0.00014620846,0
0.971742468713513,0.974094409810978,0.99999976,0.99992824,1
0.559330625579528,0.269569077657935,0.99999666,0.5534312,1
0.125702520891274,0.0936946836759156,0.1940615,0.0007425022,0
0.97247198587579,0.981419091419018,0.99995494,0.9999914,1
0.955654623933747,0.846537719728162,0.9999999,0.9999809,1
0.972762709326961,0.984392255038501,0.9999968,0.99998355,1
0.972734809742136,0.984099975787934,0.99999976,0.99999356,1
0.118336363801409,0.117091612315865,0.0009088633,0.0008194026,0
0.917978208940499,0.667778813340475,0.9999993,0.9998915,1
0.967197249131993,0.932087195957726,0.99999976,0.99998677,1
0.972699015813144,0.98373208816379,1,0.99999297,1
0.97114263330575,0.968371883560875,0.99911636,0.99996233,1
0.942598242257892,0.772694352543907,0.9999999,0.9992174,1
0.972559423795497,0.982503673305677,0.9999993,0.99953187,1
0.148829626690322,0.18965590532653,3.304621e-08,0.00037594858,0
0.917801730448015,0.668808877574283,0.99999976,0.9960853,1
0.806353477717735,0.40759661465557,0.99999213,0.9779468,1
0.818710146197172,0.420357453841521,0.99999,0.99934274,1
0.938849514083919,0.972483423634451,9.166926e-06,0.99997604,1
0.752748833190892,0.647519915846356,0.0005490907,0.73390657,1
0.851538897630814,0.486972256394527,0.9999988,0.9962161,1
0.942048045400953,0.769618495267267,0.9999994,0.99993265,1
0.94326199304878,0.775725171960341,0.9999994,0.9999819,1
0.969524908622647,0.95283970789365,0.9999654,0.9999783,1
0.153616628110468,0.199938446818955,1.0184829e-08,0.00013841449,0
0.972649812640872,0.983257496697383,0.999992,0.9999274,1
0.965483763418695,0.91772254706133,0.9999933,0.99995756,1
0.909414745313783,0.638079517960996,0.99999976,0.9999863,1
0.120023364664478,0.121941849004524,3.034348e-08,0.00021228798,0
0.556928801726159,0.299434678029259,0.016462546,0.96922505,0
0.97213946488734,0.978069723802874,0.99993896,0.9999522,1
0.971228016922408,0.969145067537154,0.9994491,0.9999324,1
0.48125557063412,0.337915988567494,0.99789006,0.20359613,1
0.137119043143864,0.156155220227754,0.034241762,0.00020921297,0
0.97249678155146,0.981669270094153,0.99999905,0.9999753,1
0.972749796050637,0.98426034906118,0.9999999,0.9999796,1
0.833215425062867,0.45159545346982,0.9864509,0.99767846,1
0.971827431421959,0.97492459760066,0.99999785,0.9999645,1
0.106999871174122,0.0866606339444409,1.5316184e-07,4.8215625e-05,0
0.969280563518291,0.950659764234169,0.999998,0.99980694,1
0.971378390193164,0.970696003574418,0.9992132,0.9998702,1
0.901700251408124,0.613459305929695,1,0.9999683,1
0.972551477550656,0.982221500193942,0.9999999,0.9999895,1
0.972584639110801,0.982563257314898,0.9999993,0.99998415,1
0.97272685476945,0.984019996223912,0.9999994,0.9999896,1
0.970831893515205,0.965358102225203,0.99988484,0.99958795,1
0.972679863494707,0.98353565313017,0.99999857,0.99999297,1
0.972722247235921,0.983974012934381,0.99999976,0.9999863,1
0.972582653284495,0.98256299997349,0.99999976,0.9999379,1
0.972181407615072,0.978472559895593,0.99999607,0.99996984,1
0.971340750130345,0.970144888162301,0.99989355,0.99994564,1
0.966427189566385,0.925701491205148,0.99999976,0.999613,1
0.885025063270271,0.56562171163509,0.9999999,0.9999312,1
0.972713005135883,0.983880971154895,0.9999999,0.99998164,1
0.972724902601024,0.984002925346901,0.9999975,0.99998367,1
0.97237097640644,0.980381331878042,0.99999905,0.9999919,1
0.972469280549299,0.981385044293981,0.99999785,0.99998474,1
0.971839758818391,0.975044719243353,0.99999475,0.99997246,1
0.832889621010622,0.447043718918749,0.99999356,0.9998529,1
0.790396813804229,0.397443061298515,0.99995553,0.9394108,1
0.972615030970353,0.982877095441496,0.99999726,0.9999789,1
0.972670614028117,0.983440349936292,0.99999976,0.99999344,1
0.970990067426469,0.966701501188286,0.9999889,0.99995744,1
