smiles,lipo
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,2.88
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(Cc4ccccc4)c5ccc(Cl)cc5,4.1
COc1cc(cc(OC)c1OC)C(=O)c2cc(Cl)ccc2N,3.38
O[C@@H](CNCCSCCCNCCc1cccc(Cl)c1Cl)c2ccc(O)c3NC(=O)Sc23,2.2
CC(C)N1CCN(Cc2oc(nc2)c3cc(cc4[nH]ncc34)c5cccc6[nH]ccc56)CC1,3.49
Cc1sc2ncnc(SCC(=O)N3CCN(CC3)C(=O)c4occc4)c2c1C,2.7
COc1cc2ncnc(NCc3ccccc3)c2cc1OC,3.29
C1Oc2ccc(Oc3cc(Oc4ccc(cc4)n5ccnc5)ncn3)cc2O1,3.17
COCCNCc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1.86
CNC(=O)c1cc(sc1NC(=O)N)c2ccccc2,3.19
CN(CCCc1ccccc1)S(=O)(=O)c2cc(C(=O)N3CCc4ccc(cc4C3)S(=O)(=O)NCCc5ccccc5)c(O)c(O)c2O,0.75
CCC[C@@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3,0.6
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4cc(ccn34)C#N)N5CCN(CC5)C(=O)C,2.3
C[C@H](O)C(=O)N1CCN(CC1)c2ccc(Nc3nccc(n3)c4cnc(C)n4C(C)C)cc2,2.15
Fc1ccc(cc1)c2ncn(C3CCNCC3)c2c4ccncc4,0.3
OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,2.49
COc1cc2ncc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1OC,3.34
CCCSc1nc(Oc2ccc(CC(=O)O)cc2)ccc1C(=O)NC3CCCCC3,1.79
CNC(=O)c1ccc2C(=O)C=C(Nc2c1)c3cccnc3,1.01
